Headline;Media;Date;url
Deretan Tokoh NU di Timses Anies, Prabowo Hingga Ganjar;CNN Indonesia;15/11/2023;https://www.cnnindonesia.com/nasional/20231115152414-617-1024639/deretan-tokoh-nu-di-timses-anies-prabowo-hingga-ganjar
"Pertarungan Gibran dan Ganjar di Jawa Tengah Bakal Sengit, Jokowi Efek Bisa 
Goyang Dominasi Banteng";Warta Kota;15/11/2023;https://wartakota.tribunnews.com/2023/11/15/pertarungan-gibran-dan-ganjar-di-jawa-tengah-bakal-sengit-jokowi-efek-bisa-goyang-dominasi-banteng
"Adik Prabowo Muak Lihat Jokowi Terus Dikritik: Yang Nyerang Dinasti Politik 
Pertama di Indonesia";Tribunnews.com;15/11/2023;https://www.tribunnews.com/mata-lokal-memilih/2023/11/15/adik-prabowo-muak-lihat-jokowi-terus-dikritik-yang-nyerang-dinasti-politik-pertama-di-indonesia
Markas Rusak Berat, Veteran Solo Sambat ke Gibran Minta Bantu Perbaiki;detikcom;15/11/2023;https://www.detik.com/jateng/berita/d-7038595/markas-rusak-berat-veteran-solo-sambat-ke-gibran-minta-bantu-perbaiki
Menhan Prabowo: Upaya Gencatan Senjata Harus Terus Dilakukan - Jawa Pos;JawaPos.com;15/11/2023;https://www.jawapos.com/internasional/013289685/menhan-prabowo-upaya-gencatan-senjata-harus-terus-dilakukan
Puluhan Ribu Orang Melakukan Demonstrasi untuk Israel di ...;RILIS ID;15/11/2023;https://rilis.id/Breaking%20News/Berita/Puluhan-Ribu-Orang-Melakukan-Demonstrasi-untuk-Israel-di-Washington-DC-1AHwWoT
Ditabrak yang Terakhir Kali, Dahan Pohon di Kramatjati ...;Megapolitan - KOMPAS.com;15/11/2023;https://megapolitan.kompas.com/read/2023/11/15/07120291/ditabrak-yang-terakhir-kali-dahan-pohon-di-kramatjati-akhirnya-patah-dan?page=all
Aliran Dana Asing Berpotensi Banjiri Saham ARTO Berkat Indeks MSCI;Market Bisnis;15/11/2023;https://market.bisnis.com/read/20231115/7/1714683/aliran-dana-asing-berpotensi-banjiri-saham-arto-berkat-indeks-msci
"Dipanggil Jadi Saksi Korupsi Kementan, KPK Cecar Ketua Komisi IV DPR Soal 
Anggaran";Kabar24;15/11/2023;https://kabar24.bisnis.com/read/20231115/16/1714771/dipanggil-jadi-saksi-korupsi-kementan-kpk-cecar-ketua-komisi-iv-dpr-soal-anggaran
Memilih Tanpa Status, Mengapa Anak Muda Saat Ini Lebih ...;RILIS ID;15/11/2023;https://rilis.id/Lifestyle/Berita/Memilih-Tanpa-Status-Mengapa-Anak-Muda-Saat-Ini-Lebih-Menyukai-HTS-Ni0e0Yr
Taktik Xi Jinping Bobol Blokir Joe Biden, Jenius!;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/tech/20231115160701-37-489307/taktik-xi-jinping-bobol-blokir-joe-biden-jenius
Polda Metro Jaya Buka Suara Terkait Video Viral Anggota ...;RILIS ID;15/11/2023;https://rilis.id/Peristiwa/Berita/Polda-Metro-Jaya-Buka-Suara-Terkait-Video-Viral-Anggota-Brimob-di-Rumah-Relawan-Ganjar-Fosoj68
Berharta Rp9,2 Miliar, Intip Gaji dan Tunjangan Pius Lustrilanang di BPK;Bisnis Tempo;15/11/2023;https://bisnis.tempo.co/read/1796857/berharta-rp92-miliar-intip-gaji-dan-tunjangan-pius-lustrilanang-di-bpk
Koalisasi Kebijakan Sehat Sleman Dorong Perda KTR Segera ...;Jogjapolitan;15/11/2023;https://jogjapolitan.harianjogja.com/read/2023/11/15/513/1155111/koalisasi-kebijakan-sehat-sleman-dorong-perda-ktr-segera-disahkan
Jubir TKN Puji Sikap Santun dan Santuy Prabowo-Gibran Saat Pengundian di KPU;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040941/jubir-tkn-puji-sikap-santun-dan-santuy-prabowo-gibran-saat-pengundian-di-kpu
TKN Sebut Sikap Prabowo-Gibran yang Santun Bisa Jadi Teladan Generasi Muda;JPNN.com;16/11/2023;https://www.jpnn.com/news/tkn-sebut-sikap-prabowo-gibranyang-santun-bisa-jadi-teladan-generasi-muda
TKN Prabowo Gibran: Anak Muda Suka dengan Sikap Santuy dan Santun - Jawa Pos;JawaPos.com;16/11/2023;https://www.jawapos.com/politik/013293810/tkn-prabowo-gibran-anak-muda-suka-dengan-sikap-santuy-dan-santun
Bos PPI Nilai Keunggulan Prabowo-Gibran di Survei Tak Signifikan;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7039467/bos-ppi-nilai-keunggulan-prabowo-gibran-di-survei-tak-signifikan
"Meski Didukung Presiden Jokowi, Prabowo-Gibran Belum Tentu Menangi Pilpres 
2024";SINDOnews;16/11/2023;https://nasional.sindonews.com/read/1253365/12/meski-didukung-presiden-jokowi-prabowo-gibran-belum-tentu-menangi-pilpres-2024-1700151071
"Unggul di Banyak Survei, Prabowo-Gibran Makin Solid Didukung Pemilih Jokowi 
- Radar Surabaya";Radar Surabaya;16/11/2023;https://radarsurabaya.jawapos.com/nasional/773295707/unggul-di-banyak-survei-prabowo-gibran-makin-solid-didukung-pemilih-jokowi
Survei JSPP dan Ragaplasma: Elektablitas Prabowo-Gibran Juara di Jabar;detikcom;16/11/2023;https://www.detik.com/jabar/berita/d-7040343/survei-jspp-dan-ragaplasma-elektablitas-prabowo-gibran-juara-di-jabar
Golkar Surabaya sosialisasikan nomor urut 2 Prabowo-Gibran;Antaranews.com;16/11/2023;https://www.antaranews.com/berita/3826836/golkar-surabaya-sosialisasikan-nomor-urut-2-prabowo-gibran
Ratusan seniman Bantengan Jatim deklarasi dukung Prabowo-Gibran;ANTARA News;16/11/2023;https://www.antaranews.com/berita/3826572/ratusan-seniman-bantengan-jatim-deklarasi-dukung-prabowo-gibran
Hasil Survei Teratas, TKN Prabowo-Gibran Optimistis Menang ...;Kompas.id;16/11/2023;https://www.kompas.id/baca/video/2023/11/15/hasil-survei-teratas-tkn-prabowo-gibran-optimistis-menang-satu-putaran
"Dituding Curang Libatkan Aparat, TKN Prabowo-Gibran: Fitnah Merusak Cara 
Berbangsa dan Bernegara";Nasional;16/11/2023;https://nasional.tempo.co/read/1797354/dituding-curang-libatkan-aparat-tkn-prabowo-gibran-fitnah-merusak-cara-berbangsa-dan-bernegara
Gerindra Sebut 70 Persen Spanduk Prabowo-Gibran di Babel Juga Dirusak OTK;detikcom;16/11/2023;https://www.detik.com/sumbagsel/berita/d-7040661/gerindra-sebut-70-persen-spanduk-prabowo-gibran-di-babel-juga-dirusak-otk
Nomor Urut 2 Prabowo-Gibran, PAN Siap Antarkan ...;Politik;16/11/2023;https://politik.rmol.id/read/2023/11/16/597579/nomor-urut-2-prabowo-gibran-pan-siap-antarkan-kemenangan-di-bumi-cenderawasih
"Indo Barometer Klaim Prabowo-Gibran Berpeluang Menang Satu Putaran, NasDem: 
Jangan-Jangan Sampelnya Itu-Itu Saja";Nasional;16/11/2023;https://nasional.tempo.co/read/1797476/indo-barometer-klaim-prabowo-gibran-berpeluang-menang-satu-putaran-nasdem-jangan-jangan-sampelnya-itu-itu-saja
Tim Hukum Aceh Prabowo-Gibran akan Laporkan MTA ke Polda;Serambinews.com;16/11/2023;https://aceh.tribunnews.com/2023/11/16/tim-hukum-aceh-prabowo-gibran-akan-laporkan-mta-ke-polda
Gubernur Al Haris ketua tim pemenangan Prabowo-Gibran di Jambi;ANTARA News Jambi;16/11/2023;https://jambi.antaranews.com/berita/562308/gubernur-al-haris-ketua-tim-pemenangan-prabowo-gibran-di-jambi
Ganjar Singgung Politik Drakor, Ini Ragam Tanggapan Kubu Prabowo-Gibran;Nasional;16/11/2023;https://nasional.tempo.co/read/1797460/ganjar-singgung-politik-drakor-ini-ragam-tanggapan-kubu-prabowo-gibran
Anies-Imin Tos dengan Prabowo-Gibran, Sudirman Said: Hubungannya Baik;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040526/anies-imin-tos-dengan-prabowo-gibran-sudirman-said-hubungannya-baik
Dampingi Prabowo di Pilpres, Harta Gibran Capai Rp25,5 M;CNBC Indonesia;16/11/2023;https://www.cnbcindonesia.com/market/20231116193303-17-489684/dampingi-prabowo-di-pilpres-harta-gibran-capai-rp255-m
Kementerian Komunikasi dan Informatika;Kementerian Komunikasi dan Informatika;16/11/2023;https://www.kominfo.go.id/content/detail/52964/hoaks-menhan-prabowo-subianto-jadikan-gibran-rakabuming-raka-sebagai-tumbal-untuk-rusak-reputasi-presiden-jokowi/0/laporan_isu_hoaks
"Airin Rachmi Diany Jadi Ketua Tim Kampanye Prabowo-Gibran di Banten - 
Kompas.com";Regional - KOMPAS.com;16/11/2023;https://regional.kompas.com/read/2023/11/16/232946478/airin-rachmi-diany-jadi-ketua-tim-kampanye-prabowo-gibran-di-banten
KPU Atur Kampanye di Media, TKN Prabowo-Gibran Janji Bakal Patuh;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7041265/kpu-atur-kampanye-di-media-tkn-prabowo-gibran-janji-bakal-patuh
"Sinyal Kuat Gabung TKN, Kehadiran Khofifah Kuatkan Kemenangan 
Prabowo-Gibran di Jatim - Radar Kediri";Radar Kediri;16/11/2023;https://radarkediri.jawapos.com/politika/783293207/sinyal-kuat-gabung-tkn-kehadiran-khofifah-kuatkan-kemenangan-prabowo-gibran-di-jatim
"Prabowo-Gibran Dapat Nomor Urut 2, Gerindra Jatim: Kemenangan Tebal Semakin 
Nyata!";Tribun Jatim;16/11/2023;https://jatim.tribunnews.com/2023/11/16/prabowo-gibran-dapat-nomor-urut-2-gerindra-jatim-kemenangan-tebal-semakin-nyata
Relawan Desa di Sumut siap menangkan Prabowo-Gibran;Elshinta.Com;16/11/2023;https://elshinta.com/news/319865/2023/11/16/relawan-desa-di-sumut-siap-menangkan-prabowogibran
"Masinton Sebut Prabowo-Gibran dan Anies-Muhaimin Miliki Keinginan Wujudkan 
Demokrasi Ala RT/RW";tvOneNews.com;16/11/2023;https://www.tvonenews.com/berita/nasional/167322-masinton-sebut-prabowo-gibran-dan-anies-muhaimin-miliki-keinginan-wujudkan-demokrasi-ala-rtrw
Cak Imin Tak Masalah Habib Luthfi Dukung Prabowo-Gibran: PKB Kekuatan Utama;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040488/cak-imin-tak-masalah-habib-luthfi-dukung-prabowo-gibran-pkb-kekuatan-utama
Inilah Tokoh NU di Barisan Pendukung Prabowo-Gibran - harian.disway.id;Harian Disway;16/11/2023;https://harian.disway.id/read/743117/inilah-tokoh-nu-di-barisan-pendukung-prabowo-gibran
"Viral Video ASN Boyolali Diminta Menangkan Ganjar, Ini Tanggapan PDIP, 
Bupati, Pj Gubernur, dan TKN Prabowo-Gibran";Nasional;16/11/2023;https://nasional.tempo.co/read/1797450/viral-video-asn-boyolali-diminta-menangkan-ganjar-ini-tanggapan-pdip-bupati-pj-gubernur-dan-tkn-prabowo-gibran
Warga Gugat Putusan KPU Terkait Paslon Prabowo-Gibran;KOMPAS.tv;16/11/2023;https://www.kompas.tv/regional/461404/warga-gugat-putusan-kpu-terkait-paslon-prabowo-gibran
Kementerian Komunikasi dan Informatika;Kementerian Komunikasi dan Informatika;16/11/2023;https://www.kominfo.go.id/content/detail/52963/hoaks-video-prabowo-ngamuk-mahfud-bawa-bukti-500-m-hasil-suap-mk-untuk-lengserkan-gibran/0/laporan_isu_hoaks
Arti Finger Heart yang Diberikan Gibran Saat Dapat Nomor Urut Pilpres 2024;Detik;16/11/2023;https://www.detik.com/bali/berita/d-7040351/arti-finger-heart-yang-diberikan-gibran-saat-dapat-nomor-urut-pilpres-2024
"Prabowo Gibran Bertekad Bentuk Badan Penerimaan Negara, Tingkatkan Rasio, 
Bayar Pajak Bisa Lebih Murah - harian.disway.id";Harian Disway;16/11/2023;https://harian.disway.id/read/743079/prabowo-gibran-bertekad-bentuk-badan-penerimaan-negara-tingkatkan-rasio-bayar-pajak-bisa-lebih-murah
"Siapkan 45 Ribu Relawan, Demokrat Jamin Prabowo-Gibran Menang di Halmahera 
Barat";tandaseru.com;16/11/2023;https://www.tandaseru.com/2023/11/16/siapkan-45-ribu-relawan-demokrat-jamin-prabowo-gibran-menang-di-halmahera-barat/
"Soal Uang Rp 20.000 Berstempel Prabowo Satria Piningit, TKN: Laporkan Saja 
ke Bawaslu - Kompas.com";KOMPAS.com;16/11/2023;https://nasional.kompas.com/read/2023/11/16/23122401/soal-uang-rp-20000-berstempel-prabowo-satria-piningit-tkn-laporkan-saja-ke
"Andre Rosiade Sebut Prabowo-Gibran Banyak Mendapat 'Framing' Lakukan 
Kecurangan!";KOMPAS.tv;16/11/2023;https://www.kompas.tv/video/461610/andre-rosiade-sebut-prabowo-gibran-banyak-mendapat-framing-lakukan-kecurangan
"'Enggak Usah Diberitakan', Gibran Akui Sudah Lama Terima Surat dari PDI 
Perjuangan";Tribun Jabar;16/11/2023;https://jabar.tribunnews.com/2023/11/16/enggak-usah-diberitakan-gibran-akui-sudah-lama-terima-surat-dari-pdi-perjuangan
Jenderal Polisi Tantang Aiman Buktikan Ada Komandan ...;Merdeka.com;16/11/2023;https://www.merdeka.com/peristiwa/jenderal-polisi-tantang-aiman-buktikan-ada-komandan-perintah-anggota-pilih-prabowo-gibran-49518-mvk.html
"89 Hari Menuju Pilpres 2024 - Survei di Sulawesi: Prabowo-Gibran Naik, 
Ganjar-Mahfud atau AMIN Turun";Tribun Manado;16/11/2023;https://manado.tribunnews.com/2023/11/16/89-hari-menuju-pilpres-2024-survei-di-sulawesi-prabowo-gibran-naik-ganjar-mahfud-atau-amin-turun
"Jawa Tengah Kandang Banteng, Kubu Prabowo-Gibran Akui Sulit Menang hingga 
Siapkan Strategi Khusus";Tribun Wow;16/11/2023;https://wow.tribunnews.com/2023/11/16/jawa-tengah-kandang-banteng-kubu-prabowo-gibran-akui-sulit-menang-hingga-siapkan-strategi-khusus
"Pilih Gibran Rakabuming Jadi Cawapres Banjir Kritik, Kubu Prabowo Subianto: 
Daripada Tua Koruptor - Ayo Jakarta";Ayo Jakarta Com;16/11/2023;https://www.ayojakarta.com/news/7610885270/pilih-gibran-rakabuming-jadi-cawapres-banjir-kritik-kubu-prabowo-subianto-daripada-tua-koruptor
Prabowo Dinilai Mampu Menguatkan Posisi Indonesia di Pentas Dunia;Tribun Jabar;16/11/2023;https://jabar.tribunnews.com/2023/11/16/prabowo-dinilai-mampu-menguatkan-posisi-indonesia-di-pentas-dunia
"Gibran Rakabuming Bantah Isu Megawati Menolak Salaman dengan Kaesang: 
Beliau Masih Menerima Kami! - Ayo Jakarta";Ayo Jakarta Com;16/11/2023;https://www.ayojakarta.com/news/7610885736/gibran-rakabuming-bantah-isu-megawati-menolak-salaman-dengan-kaesang-beliau-masih-menerima-kami
Prihatin Pesawat TNI AU Jatuh di Pasuruan, Syarief Hasan ...;Politik;16/11/2023;https://politik.rmol.id/read/2023/11/16/597522/prihatin-pesawat-tni-au-jatuh-di-pasuruan-syarief-hasan-soroti-umur-pesawat
"Ganjar Dapat Laporan Kepala Daerah Diintimidasi Aparat, TPN: Ada Sedikit 
Berbau Ancaman - Kompas.com";KOMPAS.com;16/11/2023;https://nasional.kompas.com/read/2023/11/16/22030201/ganjar-dapat-laporan-kepala-daerah-diintimidasi-aparat-tpn-ada-sedikit
Kementerian Komunikasi dan Informatika;Kementerian Komunikasi dan Informatika;16/11/2023;https://www.kominfo.go.id/content/detail/52976/daftar-121-produk-diharamkan-mui-karena-terafiliasi-israel-awas-hoaks/0/berita_satker
"Kantor BUMD Sugih Mukti Cianjur Digeledah Penyidik Kejari Cianjur Terkait 
Korupsi Sektor Pertanian";Tribun Jabar;16/11/2023;https://jabar.tribunnews.com/2023/11/16/kantor-bumd-sugih-mukti-cianjur-digeledah-penyidik-kejari-cianjur-terkait-korupsi-sektor-pertanian
"Hati-hati, ASN Pose Jari Dukung Capres Bisa Dipecat, Ini 10 Pose yang 
Dilarang";Bisnis Tempo;16/11/2023;https://bisnis.tempo.co/read/1797550/hati-hati-asn-pose-jari-dukung-capres-bisa-dipecat-ini-10-pose-yang-dilarang
El Nino Pengaruhi Intensitas Hujan, BMKG: Potensi Bencana ...;News;16/11/2023;https://news.republika.co.id/berita/s47siw414/el-nino-pengaruhi-intensitas-hujan-bmkg-potensi-bencana-hidrometeorologi-masih-tinggi
6 Fakta Menarik Sibolga Dijuluki Kota Terkecil di Indonesia ...;RILIS ID;16/11/2023;https://rilis.id/Daerah/Berita/6-Fakta-Menarik-Sibolga-Dijuluki-Kota-Terkecil-di-Indonesia-dengan-Luas-1077-Km2-drHG8JL
Nasib IKN Setelah Jokowi hingga Kesepakatan Hamas Israel;CNBC Indonesia;16/11/2023;https://www.cnbcindonesia.com/news/20231116210526-8-489703/nasib-ikn-setelah-jokowi-hingga-kesepakatan-hamas-israel
"Bikin Haru, Bocah 4 Tahun Minta Ayahnya Jual Mobil Kesayangan Buat Bantu 
Palestina";Viva;16/11/2023;https://www.viva.co.id/trending/1658165-bikin-haru-bocah-4-tahun-minta-ayahnya-jual-mobil-kesayangan-buat-bantu-palestina
Sinopsis Film Call Me Chihiro, Perjuangan Melawan ...;RILIS ID;16/11/2023;https://rilis.id/Hiburan/Berita/Sinopsis-Film-Call-Me-Chihiro-Perjuangan-Melawan-Kesendirian-dan-Meninggalkan-Masa-Lalu-yang-Kelam-Mf30lPL
Sikap Tegas Jokowi di OKI, MUI: Itu Sesuai Harapan ...;indoposco;16/11/2023;https://indoposco.id/nasional/2023/11/16/sikap-tegas-jokowi-di-oki-mui-itu-sesuai-harapan-masyarakat-indonesia
"Aprindo Desak Pemerintah Lunasi Utang Rafaksi Minyak Goreng Sebelum Akhir 
2023";Bisnis Tempo;16/11/2023;https://bisnis.tempo.co/read/1797544/aprindo-desak-pemerintah-lunasi-utang-rafaksi-minyak-goreng-sebelum-akhir-2023
