judul_berita;media;tanggal_publikasi
"Pengamat Politik Singgung Pengaruh Blunder Ade Armando pada Perolehan Suara 
Prabowo-Gibran";Pemilu;1 minggu lalu
Geger Kepala Desa Dukung Prabowo-Gibran;detikNews;2 minggu lalu
Polres Pringsewu Amankan Kampanye Relawan Prabowo ...;Humas Polri;3 hari lalu
"Soal Tudingan Pengerahan Aparat, TKN Prabowo-Gibran Bilang Siapa pun Boleh 
Mengatakan Apa pun";Nasional tempo;4 hari lalu
Komunitas Indonesia Tionghoa: Prabowo-Gibran Penerus ...;Politik;3 minggu lalu
Ridwan Kamil Buka Suara Soal Prabowo-Gibran, Bilang Ini;CNBC Indonesia;3 minggu lalu
Gugatan PMH Prabowo-Gibran Gugur, Nusron Wahid: Insyaallah Kita Benar;detikNews;2 minggu lalu
Prabowo-Gibran janjikan rumah murah untuk milenial;Antaranews.com;1 minggu lalu
Sosok Ini Dikabarkan Jadi Ketua TKD Prabowo-Gibran di Jatim;Detik;3 minggu lalu
HNW Sentil Jubir TKN Prabowo-Gibran soal Perlindungan Kaum Non-Biner;detikNews;1 minggu lalu
Kornas Kader PeTiGa deklarasi dukung pasangan Prabowo-Gibran;Antaranews.com;2 minggu lalu
Wagub Kepri Marlin Agustina Jadi Penasehat TKD Prabowo Gibran;Detik;1 minggu lalu
TKN Prabowo-Gibran Buka Pintu untuk Eks KSAD Dudung Abdurachman;detikNews;2 hari lalu
RK: TKD Prabowo-Gibran Komitmen Dukung Netralitas ASN TNI/Polri;CNN Indonesia;6 hari lalu
Prabowo-Gibran Akan Hadir Deklarasi Dukungan Pandawa Lima, Luhut Hadir?;detikNews;2 minggu lalu
"Prabowo-Gibran Bertekad Gencarkan Hilirisasi Digital Demi Dukung Anak Muda 
Indonesia";Warta Kota;2 hari lalu
Tak Masuk TPN Prabowo-Gibran, Ini Penjelasan Arie Budi!;CNBC Indonesia;3 minggu lalu
"Cakra Data: Prabowo-Gibran Terpopuler di Jagat Maya, tapi Sentimen Negatif 
Tertinggi - Kompas.com";KOMPAS.com;2 minggu lalu
Kampanye Hari ke-6: Ini Jadwal AMIN, Prabowo-Gibran dan Ganjar-Mahfud;detikNews;1 minggu lalu
Gandeng Dewa 19, Prabu Bidik Suara Prabowo-Gibran di Lampung;Detik;1 minggu lalu
"TKN: 60 Bu Nyai dan Majelis Taklim Jateng Dukung Prabowo-Gibran Menang Satu 
Putaran - Kompas.com";KOMPAS.com;1 minggu lalu
Eks Jubir Bobby Jadi Jubir TKD Prabowo-Gibran di Sumut;Detik;2 minggu lalu
"Otto Hasibuan Gabung TKN Prabowo-Gibran, Langsung Jadi Wakil Ketua - 
Kompas.com";KOMPAS.com;2 minggu lalu
Purnawirawan Jenderal Polisi Andi Damisnur Pimpin TKD Prabowo-Gibran Sulsel;detikcom;3 minggu lalu
Nonton Debat Capres 2024, Kirana Larasati Pakai Bando Gambar Prabowo-Gibran;Viva;20 jam lalu
SBY Tegaskan FKLPDK Tak Wakili Partai: Kami Solid Dukung Prabowo-Gibran;detikNews;2 minggu lalu
"Prabowo-Gibran Janji Bangun 150.000 Rumah di Desa, Cicilannya Ditanggung 
APBN - kumparan.com";kumparan;3 hari lalu
Simpatisan PDIP Jateng Deklarasi Dukung Prabowo-Gibran ...;Politik;1 minggu lalu
Viral Video Anak-anak Kampanye Prabowo-Gibran di Pamekasan - Kompas.com;Berita Surabaya Terbaru Hari Ini - Kompas.com;4 hari lalu
Rapat Perdana, TKD Sumbar Minta Seluruh Caleg Pasang Foto Prabowo-Gibran;Detik;3 minggu lalu
TKN Prabowo-Gibran Serahkan Bantuan Rp 5 Miliar untuk Palestina;detikNews;2 minggu lalu
"Pengamat Bilang Prabowo-Gibran Paling Mungkin Didukung Pemilih Jokowi 
Non-PDIP di Jateng";Nasional tempo;3 minggu lalu
Prabowo-Gibran pilih layani publik di hari pertama kampanye ...;Antaranews.com;2 minggu lalu
Usai Bertemu Ganjar, Relawan Benteng Jokowi Beralih ...;RMOL;3 minggu lalu
"Prabowo - Gibran Bakal Lanjutkan Kebijakan Hilirisasi Jokowi, tapi Belum 
Tentu Larang Ekspor";Bisnis Tempo;1 minggu lalu
"Soal Rencana Pengalihan Anggaran Bansos, TKN Prabowo-Gibran: Itu Tidak 
Benar - Kompas.com";KOMPAS.com;1 minggu lalu
Bahlil Bentuk Relawan Prabowo-Gibran, Arahan Istana?;CNBC Indonesia;2 minggu lalu
